ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_3149,Isoniazid,DTXSID8020755,parent,n/a,Pharmaceutical,Ph Antibiotic,antitubercular,bacteria (in humans),Antibiotic,Bacterial cell wall synthesis inhibition,Enoyl-acyl carrier protein reductase (ENR),"prodrug (must be activated by bacterial catalase), inhibits the synthesis of mycoloic acids",n/a,n/a,"drugbank, IARC/3/1987",n/a,5/31/2022,3767,QRXWMOHMRWLFEY-UHFFFAOYSA-N,n/a
ID_3150,2-Hydroxyquinoline,DTXSID1058769,TP,Quinoline,"Industrial Chemical, Food Additive",TP IC Solvent/Corrosion inhibitor,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, pubchem",n/a,3/1/2021,5280922,LISFMEBWQUVKPJ-UHFFFAOYSA-N,n/a
ID_3151,4-Hydroxyquinoline,DTXSID50209980,parent,n/a,Industrial Chemical,IC Antibacterial,derivatives (4-quinolone antibiotics) represent a large class of important drugs,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,3/1/2021,5280925,PMZDQRJGMBOQBF-UHFFFAOYSA-N,n/a
ID_3152,5-Hydroxyquinoline,DTXSID60870625,parent,n/a,Industrial Chemical,IC Production of dyes,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Rashidnejad et al. 2021 (doi: 10.1016/j.molstruc.2020.129323),n/a,3/3/2022,135441757,GYESAYHWISMZOK-UHFFFAOYSA-N,n/a
ID_3153,6-Hydroxyquinoline,DTXSID40206726,parent,n/a,Industrial Chemical,IC Reagent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2/18/2022,11374,OVYWMEWYEJLIER-UHFFFAOYSA-N,n/a
ID_3154,7-Hydroxyquinoline,DTXSID7060380,parent,n/a,Industrial Chemical,IC Reagent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2/20/2022,135426866,XCRPPAPDRUBKRJ-UHFFFAOYSA-N,n/a
ID_3155,8-Hydroxyquinoline,DTXSID5020730,parent,n/a,"Industrial Chemical, Biocide, Pesticide",F + B + IC Disinfectant,n/a,"bacteria, fungi",Nucleic acid biosynthesis inhibition,Transcription inhibition,n/a,n/a,"mammals, fish",potential reproduction/development effects in humans,"wikipedia, PPDB, IARC/3/1987",n/a,11/7/2021,1923,MCJGNVYPOGVAJF-UHFFFAOYSA-N,n/a
ID_3156,Quinolin-8-yl 2-fluoro-1-pentyl-1H-indole-3-carboxylate,DTXSID60857138,parent,n/a,Drug of abuse,Designer drug,n/a,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,7/18/2022,72710774,MBOCMBFDYVSGLJ-UHFFFAOYSA-N,n/a
ID_3157,Quinolin-8-yl 1-(cyclohexylmethyl)-1H-indole-3-carboxylate,DTXSID40856801,parent,n/a,Drug of abuse,Designer drug,Cannabimimetic agent,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,7/15/2022,71711120,RHYGTJXOHOGQGI-UHFFFAOYSA-N,n/a
ID_3158,Quinolin-8-yl 1-pentyl-1H-indole-3-carboxylate,DTXSID70856177,parent,n/a,Drug of abuse,Designer drug,Cannabimimetic agent,humans,Neuroactive,Cannabinoid receptor agonist,Cannabinoid receptor CB1 and CB2,n/a,n/a,n/a,wikipedia,n/a,7/18/2022,71604304,ZAVGICCEAOUWFM-UHFFFAOYSA-N,n/a
ID_3159,Quinoline,DTXSID1021798,parent,n/a,Industrial Chemical,IC Solvent/Corrosion inhibitor,production of pharmaceuticals/herbicides/fungicides,n/a,unknown,n/a,n/a,n/a,humans,"Possibly carcinogenic, mutagenic","wikipedia, pubchem, IARC/2B/2019",n/a,2/23/2022,7047,SMWDFEZZVXVKRB-UHFFFAOYSA-N,n/a
ID_3160,Quinoxaline,DTXSID6049432,parent,n/a,Industrial Chemical,IC,derivatives used as dyes/pharmaceuticals (antitumoral properties)/antibiotics,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,2/19/2022,7045,XSCHRSMBECNVNS-UHFFFAOYSA-N,n/a
ID_3161,Endrin,DTXSID6020561,parent,n/a,Pesticide,I/Rodenticide/Avicide,obsolete,"insects, birds, rodents",Neuroactive,Chloride channel inhibition,Chloride channels,n/a,"fish, mammals, aquatic invertebrates",potential endocrine disruptor and neurotoxicant in humans,"PPDB, wikipedia, IARC/3/1987",n/a,2/20/2022,12358480,DFBKLUNHFCTMDC-GKRDHZSOSA-N,n/a
ID_3162,Dieldrin,DTXSID9020453,parent + TP,Aldrin,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, fish","Probably carcinogenic, linked to Parkinson's/breast cancer/immune system damage/reproductive damae/nervous system damage, endocrine disruptor (acting as an estrogen and antiandrogen)","PPDB, wikipedia, IARC/2A/2019",n/a,12/23/2021,969491,DFBKLUNHFCTMDC-PICURKEMSA-N,n/a
ID_3163,Tramadol,DTXSID90858931,parent,n/a,Pharmaceutical,Ph Analgetic,n/a,humans,Neuroactive,"Opioid receptor agonist, Serotonin-noradrenaline reuptake inhibition (SNRI)","Opioid receptors (Mu-type, Kappa-type, Delta-type)","affect a number of pain modulators (alpha2-adrenoreceptors, neurokinin 1 receptors, the voltage-gated sodium channel type II alpha subunit, transient receptor potential cation channel subfamily V member 1, muscarinic receptors (M1 and M3), N-methyl-D-aspartate receptor, Adenosine A1 receptors, and nicotinic acetylcholine receptor)",n/a,n/a,"drugbank, wikipedia",n/a,3/1/2021,33741,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,n/a
ID_3164,Norgestrel | dl-Norgestrel,DTXSID3047477,parent,n/a,Pharmaceutical,Ph Contraceptive,n/a,humans,Endocrine,Progesterone receptor agonist,"Progesterone receptor, Estrogen receptor",n/a,n/a,n/a,"wikipedia, drugbank",only the levorotary enantiomer (levonorgestrel) is biologically active,10/21/2021,13109,WWYNJERNGUHSAO-XUDSTZEESA-N,n/a
ID_3165,Fenpropimorph,DTXSID4034601,parent,n/a,Pesticide,F,n/a,fungi,Sterol biosynthesis inhibition,"Δ14- reductase inhibition, Δ8-Δ7-isomerase inhibition","Δ14- reductase, Δ8-Δ7-isomerase (erg24, erg2)","inhibit mammalian sterol biosynthesis by affecting lanosterol demethylation, high affinity ligand of the mammalian sigma receptor, strong adverse effect on sterol biosynthesis in higher-plants by inhibiting the cycloeucalenol-obtusifoliol isomerase (impact cell division and growth)","vertebrates, plants",n/a,"FRAC, wikipedia, Marcireau et al. 1990 (doi: 10.1128/AAC.34.6.989)",n/a,12/18/2021,93365,RYAUSSKQMZRMAI-ALOPSCKCSA-N,n/a
ID_0299,Roxithromycin,DTXSID8041117,parent,n/a,Pharmaceutical,Ph Antibiotic,n/a,bacteria (in humans),Antibiotic,Protein biosynthesis inhibition,50 S subunit of bacterial ribosome,peptide translocation inhibition,n/a,n/a,drugbank,n/a,3/1/2021,444037,RXZBMPWDPOLZGW-HITVVWEBSA-N,n/a
ID_3167,Hexythiazox,DTXSID7024299,parent,n/a,Pesticide,I/A,n/a,insects,Growth and development inhibition (insects),Chitin biosynthesis inhibition,Chitin synthase-1 (CHS1),Chitin synthase-1 inhibition,"fish, aquatic invertebrates",n/a,"PPDB, IRAC, Demaeght et al. 2014 (doi: 10.1016/j.ibmb.2014.05.004)",n/a,11/1/2021,13218777,XGWIJUOSCAQSSV-XHDPSFHLSA-N,n/a
ID_3168,Triallate,DTXSID5024344,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,"aquatic invertebrates, fish, mammals",n/a,"HRAC, PPDB",n/a,2/18/2022,5543,MWBPRDONLNQCFV-UHFFFAOYSA-N,n/a
ID_3169,Fenothiocarb,DTXSID5058145,parent,n/a,Pesticide,I,acaricidal properties,insects,unknown,n/a,n/a,act on larval stages,n/a,n/a,"PPDB, wikipedia",n/a,5/19/2022,44178,HMIBKHHNXANVHR-UHFFFAOYSA-N,n/a
ID_3170,Tribufos,DTXSID1024174,parent,n/a,Pesticide,H,"defoliant, plant growth inhibitor",plants,Neuroactive,Esterase inhibition,Esterase,inhibition of Cannabinoid receptor CB1 in vivo,"mammals, fish, aquatic invertebrates",potential potential acetyl cholinesterase inhibitor and neurotoxicant for humans,"PPDB, wikipedia, Qistad et al. 2002 (doi: 10.1016/S0378-4274(02)00251-5)",n/a,7/13/2022,5125,ZOKXUAHZSKEQSS-UHFFFAOYSA-N,n/a
ID_3171,Bensultap,DTXSID6058001,parent,n/a,Pesticide,I,n/a,insects,Neuroactive,nAChR inhibition,Nicotinic acetylcholine receptor (nAChR),n/a,n/a,n/a,"PPDB, IRAC",n/a,4/13/2022,87176,YFXPPSKYMBTNAV-UHFFFAOYSA-N,n/a
ID_3172,Dioxathion,DTXSID9020534,parent,n/a,Pesticide,I/A,"obsolete, veterinary substance",insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"aquatic invertebrates, mammals",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,5/15/2022,6531,VBKKVDGJXVOLNE-UHFFFAOYSA-N,n/a
ID_3173,Cadusafos,DTXSID7037505,parent,n/a,Pesticide,I/Nematicide,n/a,"insects, nematodes",Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, fish, birds, aquatic invertebrates",potential acetyl cholinesterase inhibitor in humans,"IRAC, PPDB",n/a,4/20/2022,91752,KXRPCFINVWWFHQ-UHFFFAOYSA-N,n/a
ID_3174,Phosmet,DTXSID5024261,parent,n/a,Pesticide,I/A,veterinary substance,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),potential aromatase inhibition and androgen receptor binding,"mammals, fish, aquatic invertebrates","potential acetyl cholinesterase inhibitor, neurotoxicant for humans","PPDB, wikipedia",n/a,7/5/2022,12901,LMNZTLDVJIUSHT-UHFFFAOYSA-N,n/a
ID_3175,Spironolactone,DTXSID6034186,parent,n/a,Pharmaceutical,Ph Hypertension,transgender hormone therapy,humans,"Endocrine, Cardiovascular system",Aldosterone receptor antagonist ,Aldosterone receptor,n/a,n/a,n/a,"drugbank, IARC/3/2001",n/a,12/23/2021,5833,LXMSZDCAJNLERA-ZHYRCANASA-N,n/a
ID_3176,Orbencarb,DTXSID0058061,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,"PPDB, HRAC",n/a,12/15/2021,36867,LLLFASISUZUJEQ-UHFFFAOYSA-N,n/a
ID_3177,Thiobencarb,DTXSID6024337,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,"VLCFA synthesis inhibition, ACC inhibition",Acetyl-CoA carboxylase (ACC),n/a,"fish, mammals",potential acetyl cholinesterase inhibitor and neurotoxicant for humans,"PPDB, HRAC",n/a,7/12/2022,34192,QHTQREMOGMZHJV-UHFFFAOYSA-N,n/a
ID_3178,Methidathion,DTXSID5020819,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds, fish, aquatic invertebrates, earthworms",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,"PPDB, wikipedia",n/a,11/3/2021,13709,MEBQXILRKZHVCX-UHFFFAOYSA-N,n/a
ID_3179,Azamethiphos,DTXSID9034818,parent,n/a,Pesticide,I,veterinary substance,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,11/7/2021,71482,VNKBTWQZTQIWDV-UHFFFAOYSA-N,n/a
ID_3180,Phosalone,DTXSID1024259,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, fish, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,11/7/2021,4793,IOUNQDKNJZEDEP-UHFFFAOYSA-N,n/a
ID_3181,Terbufos,DTXSID2022254,parent,n/a,Pesticide,I/Nematicide,n/a,"insects, nematodes",Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, fish, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,"PPDB, wikipedia",n/a,11/8/2021,25670,XLNZEKHULJKQBA-UHFFFAOYSA-N,n/a
ID_3182,Oxydisulfoton,DTXSID4037536,parent + TP,Disulfoton,Pesticide,I/A,obsolete,insects,Neuromuscular system,Cholinesterase inhibition,Cholinesterase,n/a,"mammals, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,5/15/2022,17242,UPUGLJYNCXXUQV-UHFFFAOYSA-N,n/a
ID_3183,Demeton-S-methyl sulfoxide,DTXSID8025541,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"birds, mammals","potential reproduction/development effects, acetyl cholinesterase inhibitor and neurotoxicant in humans","PPDB, IRAC",n/a,3/1/2022,4618,PMCVMORKVPSKHZ-UHFFFAOYSA-N,n/a
ID_3184,Disulfoton sulfone,DTXSID8041901,TP,Disulfoton,Pesticide,TP I/A,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,5/15/2022,17241,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,n/a
ID_3185,Demeton-S-methylsulphon,DTXSID4037582,parent + TP,Demeton-S-methyl,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,mammals,potential potential acetyl cholinesterase inhibitor and neurotoxicant in humans,PPDB,n/a,5/14/2022,28213,PZIRJMYRYORVIT-UHFFFAOYSA-N,n/a
ID_3186,Thiometon,DTXSID9042469,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds, aquatic invertebrates","potential acetyl cholinesterase inhibitor, neurotoxicant for humans",PPDB,n/a,7/12/2022,12541,OPASCBHCTNRLRM-UHFFFAOYSA-N,n/a
ID_3187,Dialifor,DTXSID0037522,parent,n/a,Pesticide,I/A,obsolete,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,mammals,potential acetyl cholinesterase inhibitor and neurotoxicant for humans,PPDB,n/a,5/14/2022,25146,MUMQYXACQUZOFP-UHFFFAOYSA-N,n/a
ID_3188,Carbophenothion,DTXSID7022120,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, fish",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,"PPDB, wikipedia",n/a,4/20/2022,13081,VEDTXTNSFWUXGQ-UHFFFAOYSA-N,n/a
ID_3189,Anilofos,DTXSID5058149,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,inhibition of cell division,mammals,potential acetyl cholinesterase inhibitor and neurotoxicant for humans,PPDB,n/a,4/13/2022,91687,NXQDBZGWYSEGFL-UHFFFAOYSA-N,n/a
ID_3190,Bensulide,DTXSID9032329,parent,n/a,Pesticide,H,n/a,plants,Endocrine,Germination inhibition,n/a,n/a,"mammals, aquatic invertebrates",potential acetyl cholinesterase inhibitor and neurotoxicant in humans,"PPDB, HRAC",n/a,4/13/2022,12932,RRNIZKPFKNDSRS-UHFFFAOYSA-N,n/a
ID_3191,Dithiopyr,DTXSID9032379,parent,n/a,Pesticide,H,n/a,plants,Mitosis/Cell cycle,Microtubule assembly inhibition,n/a,Cell division inhibition,fish,n/a,"PPDB, HRAC",n/a,5/15/2022,91757,YUBJPYNSGLJZPQ-UHFFFAOYSA-N,n/a
ID_3192,Tiocarbazil,DTXSID6034425,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,"PPDB, HRAC",n/a,7/12/2022,37523,PHSUVQBHRAWOQD-UHFFFAOYSA-N,n/a
ID_3193,Prosulfocarb,DTXSID3058119,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,"PPDB, HRAC",n/a,12/18/2021,62020,NQLVQOSNDJXLKG-UHFFFAOYSA-N,n/a
ID_3194,Esprocarb,DTXSID2058201,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,"HRAC, PPDB",n/a,5/19/2022,91740,BXEHUCNTIZGSOJ-UHFFFAOYSA-N,n/a
ID_3195,Iprobenfos,DTXSID7058040,parent,n/a,Pesticide,F,n/a,fungi,Lipid metabolism,Phospholipid biosynthesis inhibition,Methyltransferase,n/a,mammals,"potential acetyl cholinesterase inhibitor, potential neurotoxicant for humans","PPDB, FRAC",n/a,5/31/2022,33294,FCOAHACKGGIURQ-UHFFFAOYSA-N,n/a
ID_3196,Fosthiazate,DTXSID0034930,parent,n/a,Pesticide,I/Nematicide,n/a,"insects, nematodes",Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"mammals, birds",potential acetyl cholinesterase inhibitor in humans,"PPDB, wikipedia",n/a,5/19/2022,91758,DUFVKSUJRWYZQP-UHFFFAOYSA-N,n/a
ID_3197,Selenium,DTXSID9021261,parent,n/a,Metal,Production of glass/Fertilizer/Alloying agent,"essential trace dietary element, forming the active center of the enzymes (glutathione peroxidase, thioredoxin reductase, three known deiodinase enzymes)",n/a,unknown,n/a,n/a,n/a,fish,"bioaccumulated in aquatic habitats, physiological changes in fish","wikipedia, IARC/3/1987, T3DB",n/a,3/19/2022,6326970,BUGBHKTXTAQXES-UHFFFAOYSA-N,Inorganic
ID_3198,Molinate,DTXSID6024206,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,mammals,"potential endocrine disruptor, reproduction/development effects, acetyl cholinesterase inhibitor and neurotoxicant in humans","PPDB, HRAC",n/a,12/15/2021,16653,DEDOPGXGGQYYMW-UHFFFAOYSA-N,n/a
ID_3199,Butylate,DTXSID7023936,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,HRAC,n/a,4/20/2022,16181,BMTAFVWTTFSTOG-UHFFFAOYSA-N,n/a
ID_3200,Cycloate,DTXSID6032356,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,mammals,potential acetyl cholinesterase inhibitor and neurotoxicant for humans,"HRAC, PPDB",n/a,5/12/2022,14337,DFCAFRGABIXSDS-UHFFFAOYSA-N,n/a
ID_3201,EPTC,DTXSID1024091,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,mammals,potential acetyl cholinesterase inhibitor and neurotoxicant for humans,PPDB,n/a,5/15/2022,12968,GUVLYNGULCJVDO-UHFFFAOYSA-N,n/a
ID_3202,Acibenzolar-S-methyl,DTXSID1032519,parent,n/a,Pesticide,F,n/a,fungi,unknown,Host plant defence induction,n/a,Systemic Activated Resistance (SAR),"fish, mammals",potential reproduction/development effects in humans,"FRAC, PPDB",n/a,4/8/2022,86412,UELITFHSCLAHKR-UHFFFAOYSA-N,n/a
ID_3203,Dipyrone,DTXSID8020543,parent,n/a,Pharmaceutical,Ph Antipyretic/Analgetic,n/a,humans,Antiinflammatory,Cyclooxygenase inhibition,Cyclooxygenase 1 (COX-1),exact moA unknown,n/a,n/a,drugbank,n/a,7/20/2022,522325,DJGAAPFSPWAYTJ-UHFFFAOYSA-M,n/a
ID_3204,Sodium 2-biphenylate,DTXSID2021153,parent,n/a,"Industrial Chemical, Food Additive, Biocide",IC + FA Preservative + B,n/a,fungi,unknown,n/a,n/a,n/a,humans,Possibly carcinogenic,"pubchem, CPDat, IARC/2B/1999",n/a,11/8/2021,23675735,KSQXVLVXUFHGJQ-UHFFFAOYSA-M,n/a
ID_3205,Iodosulfuron-methyl- trium,DTXSID2034673,parent,n/a,Pesticide,H,n/a,plants,Protein biosynthesis inhibition,Acetolactate synthase inhibition,Acetolactate synthase (ALS),n/a,mammals,potential neurotoxicant for humans,PPDB,n/a,11/7/2021,16760189,JUJFQMPKBJPSFZ-UHFFFAOYSA-M,n/a
ID_3206,Dioctyl sodium sulfosuccinate,DTXSID7041881,parent,n/a,"Industrial Chemical, Pesticide",IC Surfactant/Emulsifier,insect repellent,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,7/23/2022,15425,RCIJACVHOIKRAP-UHFFFAOYSA-M,n/a
ID_3207,Pyridine-2-thiol 1-oxide sodium salt,DTXSID3042390,parent,n/a,"Industrial Chemical, Biocide",IC Preservative + B,"antifungal, disinfectants","bacteria, fungi",unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, pubchem",n/a,11/7/2021,1569,WNGMMIYXPIAYOB-UHFFFAOYSA-M,n/a
ID_3208,S-Metolachlor CGA 368208,DTXSID901016134,TP,S-Metolachlor,Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia,",n/a,11/18/2021,n/a,KCFVYFWSBDCDGS-UHFFFAOYSA-M,n/a
ID_3209,Acetochlor ESA sodium salt,DTXSID4052843,TP,Acetochlor,Pesticide,TP H,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, wikipedia",n/a,10/31/2021,16212218,OFHPZIOSKFPQRH-UHFFFAOYSA-M,n/a
ID_3210,Sodium lauryltrioxyethylene sulfate,DTXSID3052852,parent,n/a,Industrial Chemical,IC PC/Surfactant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,7/22/2022,23674622,SXHLENDCVBIJFO-UHFFFAOYSA-M,n/a
ID_3211,"Ethanol, 2-[2-[2-(tetradecyloxy)ethoxy]ethoxy]-, hydrogen sulfate, sodium salt",DTXSID6067096,parent,n/a,Industrial Chemical,IC PC/Surfactant,detergent,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, wikipedia",n/a,7/22/2022,23682189,MDSQKJDNWUMBQQ-UHFFFAOYSA-M,n/a
ID_3212,"Sodium 3,6,9,12,15,18,21,24,27-nonaoxanonatriacontyl sulphate",DTXSID50961051,unknown,n/a,unknown,n/a,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10/4/2022,23690732,BDXONVZRSVMNOW-UHFFFAOYSA-M,n/a
ID_3213,Sodium 6-chloro-3-hydroxy-4-isopropyltoluene-2-sulphonate,DTXSID10232597,unknown,n/a,unknown,n/a,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10/3/2022,101533550,UKVDTSLNNAXSMV-UHFFFAOYSA-M,n/a
ID_3214,Acid orange 7 (free acid),DTXSID0038881,parent,n/a,Industrial Chemical,IC PC/Colorant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, wikipedia",n/a,10/21/2021,101667999,CQPFMGBJSMSXLP-UHFFFAOYSA-M,n/a
ID_3215,Sodium 4-[(4-anilinophenyl)diazenyl]benzene-1-sulfonate,DTXSID8060294,parent,n/a,Industrial Chemical,IC Colorant,pH indicator,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,12/19/2021,11133,MLVYOYVMOZFHIU-UHFFFAOYSA-M,n/a
ID_3216,Chloramine-T,DTXSID6040321,parent,n/a,"Industrial Chemical, Biocide",IC Disinfectant + B,n/a,"bacteria, fungi",unknown,n/a,n/a,probably acting on both cell wall and membrane permeability,n/a,n/a,"CPDat, Ferreira et al. 2017 (doi: 10.3390/molecules22091527)",n/a,3/14/2022,3641960,VDQQXEISLMTGAB-UHFFFAOYSA-N,n/a
ID_3217,Sodium dimethyldithiocarbamate,DTXSID6027050,parent,n/a,"Industrial Chemical, Biocide, Pesticide",IC Catalyst/Preservative + B + F,slimicide,fungi,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, ECHA 2022",n/a,12/18/2021,31397,VMSRVIHUFHQIAL-UHFFFAOYSA-M,n/a
ID_3218,Sodium dodecyl sulfate,DTXSID1026031,parent,n/a,Industrial Chemical,IC PC/Surfactant,"fragrance, detergent, cleaning products, component in pharmaceuticals and food products, bactericide properties",n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, wikipedia",n/a,7/20/2022,3423265,DBMJMQXJHONAFJ-UHFFFAOYSA-M,n/a
ID_3219,Flupyrsulfuron-methyl sodium,DTXSID9058311,parent,n/a,Pesticide,H,n/a,plants,Protein biosynthesis inhibition,Acetolactate synthase inhibition,Acetolactate synthase (ALS),n/a,earthworms,n/a,PPDB,n/a,11/7/2021,138394086,JKPSVOHVUGMYGH-UHFFFAOYSA-M,n/a
ID_3220,Sodium perfluorohexanesulfonate | L-PFHxS,DTXSID90892476,parent,n/a,Industrial Chemical,IC PFC,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,OECD 2007,n/a,11/7/2021,17853822,WXNIEINRHBIHRE-UHFFFAOYSA-M,n/a
ID_2909,Lacosamide,DTXSID1057666,parent,n/a,Pharmaceutical,Ph Anticonvulsant,n/a,humans,Neuroactive,"Sodium channel inhibition, CRMP-2 agonist","Sodium channels, collapsin response mediator protein-2 (CRMP-2)",n/a,n/a,n/a,drugbank,n/a,6/17/2022,219078,VPPJLAIAVCUEMN-GFCCVEGCSA-N,n/a
ID_3222,Pebulate,DTXSID8021199,parent,n/a,Pesticide,H,n/a,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,mammals,potential acetyl cholinesterase inhibitor and neurotoxicant for humans,"PPDB, HRAC",n/a,7/5/2022,14215,SGEJQUSYQTVSIU-UHFFFAOYSA-N,n/a
ID_3223,Vernolate,DTXSID7024376,parent,n/a,Pesticide,H,obsolete,plants,Lipid metabolism,VLCFA synthesis inhibition,n/a,n/a,n/a,n/a,"PPDB, HRAC",n/a,7/13/2022,16003,OKUGPJPKMAEJOE-UHFFFAOYSA-N,n/a
ID_3224,beta-Sitosterol,DTXSID5022481,parent,n/a,"Natural, Food Additive, Pharmaceutical",Phytosterol/Stabilizer,treatment of benign prostatic hyperplasia (BPH),n/a,Endocrine,5α-Reductase inhibition,5α-Reductase,"weak antiandrogen, influence on prostaglandin metabolism",n/a,n/a,"CPDat, wikipedia",n/a,3/14/2022,222284,KZJWDPNRJALLNS-VJSFXXLFSA-N,n/a
ID_3225,Sulfuric acid,DTXSID5029683,parent,n/a,Industrial Chemical,IC Production of fertilizers,"pH stabilizer, catalyst",n/a,unknown,n/a,n/a,"dehydrating property on carbohydrates, decomposes proteins and lipids through amide hydrolysis and ester hydrolysis",n/a,n/a,"wikipedia, T3DB",n/a,10/22/2022,1118,QAOWNCQODCNURD-UHFFFAOYSA-N,Inorganic
ID_3226,Phenylethylhydrazine sulfate,DTXSID3021144,parent,n/a,Pharmaceutical,Ph Psychotropic/Antidepressive Agent,n/a,humans,Neuroactive,MAO inhibition,Monoamine oxidase (MOA),"inhibits tyrosine aminotransferase, aromatic amino acid decarboxylase, and dopamine B-hydroxylase",n/a,n/a,"drugbank, IARC/3/1987",info about Phenelzine,7/20/2022,57417440,RXBKMJIPNDOHFR-UHFFFAOYSA-N,n/a
